"Hex Code","Value before Font swap","Printable","Description","Value after Font swap","Printable","Description"
"00",,"N","Blank",,"N","Blank"
"01","パ","Y","Katakana with handakuten","!","Y","Exclamation symbol"
"02","ピ","Y","Katakana with handakuten","“","Y","Quotation symbol"
"03","プ","Y","Katakana with handakuten","#","Y","Hash symbol"
"04","ペ","Y","Katakana with handakuten","$","Y","Dollar symbol"
"05","ポ","Y","Katakana with handakuten","%","Y","Percentage symbol"
"06","ウ゛","Y","Katakana with dakuten","&","Y","Ampersand symbol"
"07","<Arrow_Right>","N","Red right arrow graphic","<Blue_long_pipe>","N","Blue long pipe graphic"
"08","<Green_M>","N","Green M graphic","(","Y","Left bracket symbol"
"09","<Green_O>","N","Green O graphic",")","Y","Right bracket symbol"
"0A","<Green_V>","N","Green V graphic","<Blue_short_pipe>","N","Blue short pipe graphic"
"0B","<Green_E>","N","Green E graphic","<Dpad_graphic>","N","Dpad graphic"
"0C","<Green_W>","N","Green W graphic","<Blue_downwards_pipe>","N","Blue downwards pipe graphic"
"0D","<Green_A>","N","Green A graphic","-","Y","Extended minus symbol"
"0E","<Green_R>","N","Green R graphic",".","Y","Full stop symbol"
"0F","<Green_P>","N","Green P graphic","/","Y","Forward slash symbol"
"10","<Green_U>","N","Green U graphic","0","Y","Number 0"
"11","<Green_N>","N","Green N graphic","1","Y","Number 1"
"12","<Green_I>","N","Green I graphic","2","Y","Number 2"
"13","<Green_T>","N","Green T graphic","3","Y","Number 3"
"14","<Green_S>","N","Green S graphic","4","Y","Number 4"
"15","<Green_F>","N","Green F graphic","5","Y","Number 5"
"16","<Green_G>","N","Green G graphic","6","Y","Number 6"
"17","<Green_H>","N","Green H graphic","7","Y","Number 7"
"18",,"N","Blank","8","Y","Number 8"
"19",,"N","Blank","9","Y","Number 9"
"1A",,"N","Blank",":","Y","Colon symbol"
"1B",,"N","Blank","<Blue_T_pipe>","N","Blue t pipe graphic"
"1C",,"N","Blank","<Blue_upwards_pipe>","N","Blue upwards curving pipe"
"1D",,"N","Blank","=","Y","Equals symbol"
"1E",,"N","Blank","<Green_L>","N","Green L graphic"
"1F",,"N","Blank","?","Y","Question mark"
"20"," ","Y","Space"," ","Y","Space"
